Education,Marital,Sex,Age,Race,Veteran,Pro_Cert,Groom_Dis,Hear_Dis,Vis_Dis,Err_Dis,Climb_Dis,Concen_Dis,Citizenship,HrsWeek,Industry,WorkClass,Salary
43,1,2,15,1,2,2,2,1,2,2,2,2,1,32,10,5,3
39,1,1,15,1,2,1,2,2,2,2,2,2,1,40,6,4,3
43,7,1,6,1,2,2,2,2,2,2,2,2,1,40,5,4,4
39,7,1,6,1,2,2,2,2,2,2,2,2,1,48,4,4,2
41,7,2,10,1,2,1,2,2,2,2,2,2,1,40,10,4,3
39,7,1,4,1,2,2,2,2,2,2,2,2,1,20,2,4,2
43,7,1,7,1,2,1,2,2,2,2,2,2,1,55,5,4,3
43,1,2,11,1,2,1,2,2,2,2,2,2,1,40,10,4,3
39,1,1,12,1,2,1,2,2,2,2,2,2,1,35,11,7,5
42,1,2,7,1,2,2,2,2,2,2,2,2,1,24,10,5,3
39,1,1,9,1,2,2,2,2,2,2,2,2,1,50,3,4,1
34,4,2,14,1,2,2,2,2,2,2,2,2,1,40,5,4,4
39,1,1,17,1,2,2,2,2,2,2,2,2,1,26,5,4,4
42,7,2,16,1,2,1,2,2,2,2,2,2,1,40,10,5,1
41,7,1,9,1,2,2,2,2,2,2,2,2,1,45,7,4,3
39,1,2,12,1,2,2,2,1,2,2,2,2,1,22,5,4,4
43,7,1,7,1,2,2,2,2,2,2,2,2,1,40,9,4,5
39,5,1,13,1,2,2,2,2,2,2,2,2,1,40,5,4,4
43,5,2,12,1,2,1,2,2,2,2,2,2,1,40,10,5,3
41,1,2,7,1,2,1,2,2,2,2,2,2,1,32,10,4,3
40,1,1,9,1,2,1,2,2,2,2,2,2,1,48,13,3,3
44,1,2,10,1,2,1,2,2,2,2,2,2,1,40,10,3,2
39,1,1,10,1,2,1,2,2,2,2,2,2,1,40,10,2,2
43,1,2,12,1,1,2,2,2,2,2,2,2,1,40,13,1,2
39,4,2,10,1,2,2,2,2,2,2,2,2,1,10,11,4,5
40,5,1,10,1,2,2,2,2,2,2,2,2,1,37,3,4,5
40,7,2,6,1,2,2,2,2,2,2,2,2,1,40,10,5,3
39,5,1,7,1,2,1,2,2,2,2,2,2,1,10,1,7,5
39,1,1,16,1,1,2,2,2,2,2,2,2,1,21,5,4,5
43,7,1,7,1,2,1,2,2,2,2,2,2,1,5,4,4,3
43,7,1,6,1,2,2,2,2,2,2,2,2,1,40,4,4,2
40,5,1,15,1,1,2,2,2,2,2,2,2,1,23,5,4,2
40,1,1,15,1,2,1,2,1,2,2,2,2,1,40,8,6,1
40,1,2,14,1,2,2,2,2,2,2,2,2,1,35,10,3,4
43,1,2,15,1,2,1,2,2,2,2,2,2,1,6,12,5,5
43,1,1,15,1,2,2,2,2,2,2,2,2,1,40,13,1,1
39,5,2,11,1,2,2,2,2,2,2,2,2,1,26,12,4,5
37,7,2,2,1,2,2,2,2,2,2,2,2,1,20,11,4,5
39,3,2,4,1,2,2,2,2,2,2,2,2,1,40,10,5,4
43,5,2,9,1,2,2,2,2,2,2,2,2,1,22,10,3,4
39,4,2,17,1,2,2,2,1,2,2,2,2,1,1,12,4,4
43,7,2,9,1,2,1,2,2,2,2,2,2,1,40,10,5,3
39,7,1,9,1,2,1,2,2,2,2,2,2,1,43,4,4,3
43,1,2,8,1,2,1,2,2,2,2,2,2,1,8,5,4,5
45,1,1,8,1,2,1,2,2,2,2,2,2,1,40,10,6,2
43,1,2,8,1,2,2,2,2,2,2,2,2,1,20,5,4,2
39,4,2,11,1,2,2,2,2,2,2,2,2,1,1,5,4,3
42,1,2,10,1,2,1,2,2,2,2,2,2,1,40,10,4,2
40,1,1,11,1,2,1,2,2,2,2,2,2,1,42,5,4,3
43,1,2,8,1,2,2,2,2,2,2,2,2,1,60,8,4,3
40,1,1,10,1,2,2,2,2,2,2,2,2,1,45,8,4,2
40,1,2,9,1,2,2,2,2,2,2,2,2,1,30,9,4,4
37,7,1,3,1,2,2,2,2,2,2,2,2,1,8,5,4,5
40,1,1,7,1,2,1,2,2,2,2,2,2,1,50,3,4,1
40,1,2,7,1,2,2,2,2,2,2,2,2,1,1,10,4,5
43,1,2,10,1,2,2,2,2,2,2,2,2,1,46,8,4,2
43,1,2,9,1,2,1,2,2,2,2,2,2,1,32,10,4,3
44,1,1,14,1,1,2,2,2,2,2,2,2,1,2,7,5,5
39,1,2,11,1,2,2,2,2,2,2,2,2,1,40,10,5,3
39,5,2,9,1,2,2,2,2,2,2,2,2,1,40,10,4,4
43,1,1,10,1,2,2,2,2,2,2,2,2,1,35,10,3,4
42,1,2,11,1,2,2,2,2,2,2,2,2,1,40,10,5,4
43,1,2,8,1,2,2,2,2,2,2,2,2,1,17,9,4,3
43,1,1,9,1,2,2,2,2,2,2,2,2,1,40,10,4,2
39,1,1,14,1,2,2,2,2,2,2,1,2,1,43,5,4,4
39,1,2,13,1,2,1,2,1,2,2,2,2,1,32,10,5,3
43,1,2,13,1,2,1,2,2,2,2,2,2,1,24,9,4,4
39,1,1,14,1,1,1,2,2,2,2,2,2,1,40,5,4,5
43,1,2,12,1,2,2,2,2,2,2,2,2,1,58,10,5,1
39,1,1,14,1,2,2,2,2,2,2,2,2,1,50,5,6,2
43,7,1,8,1,2,2,2,2,2,2,2,2,1,40,4,4,3
43,1,2,8,1,2,1,2,2,2,2,2,2,1,36,10,5,1
44,1,1,8,1,2,1,2,2,2,2,2,2,1,45,10,4,2
39,6,1,17,1,2,2,2,2,2,2,2,2,1,40,8,4,1
43,1,1,14,1,2,2,2,2,2,2,2,2,1,35,1,7,5
44,1,2,8,1,2,1,2,2,2,2,2,2,1,40,10,2,3
40,7,2,3,1,2,2,2,2,2,2,2,2,1,24,10,5,5
39,1,2,15,1,2,2,2,2,2,2,2,2,1,28,11,4,4
40,1,1,15,1,2,2,2,2,2,2,2,2,1,22,3,6,4
44,1,2,12,1,2,2,2,2,2,2,2,2,1,22,10,2,5
43,1,2,9,1,2,2,2,2,2,2,2,2,1,50,1,4,3
39,1,1,11,1,2,2,2,2,2,2,2,2,1,65,4,4,1
40,7,1,4,1,2,2,2,2,2,2,2,2,1,40,3,4,1
43,7,2,16,1,2,2,2,2,2,2,2,2,1,30,5,4,4
39,7,1,11,1,2,2,2,2,2,2,2,2,1,75,4,4,3
40,7,2,8,1,2,2,2,2,2,2,2,2,1,40,10,5,3
37,7,1,2,1,2,2,2,2,2,2,2,2,1,15,5,4,5
39,5,1,8,1,2,2,2,2,2,2,2,2,1,43,5,4,3
39,1,1,7,1,2,2,2,2,2,2,2,2,1,40,1,4,3
40,7,1,8,1,1,2,2,2,2,2,2,2,1,40,3,4,3
39,7,2,8,1,2,2,2,2,2,2,2,2,1,11,11,4,5
40,7,2,11,1,2,2,2,1,2,2,2,2,1,39,9,4,2
40,7,2,7,1,2,1,2,2,2,2,2,2,1,38,9,4,3
39,7,1,4,1,2,1,2,2,2,2,2,2,1,90,8,4,5
39,1,1,12,1,2,2,2,2,2,2,2,2,1,40,4,4,4
39,7,2,12,1,2,2,2,2,2,2,2,2,1,32,4,4,3
42,7,2,15,1,2,2,2,2,2,2,2,2,1,40,4,4,2
39,1,1,13,1,2,2,2,2,2,2,2,2,1,50,4,4,1
43,7,2,15,1,2,2,2,2,2,2,2,2,1,2,9,4,5
39,7,1,12,1,2,2,2,2,2,2,2,2,1,40,4,4,4
39,1,2,13,1,2,2,2,2,2,2,2,2,1,15,7,4,4
39,5,2,15,1,2,1,2,2,2,2,2,2,1,40,10,4,4
40,1,1,15,1,1,2,2,2,2,2,2,2,1,39,5,4,4
41,5,1,9,1,2,1,2,2,2,2,2,2,1,95,13,2,3
39,7,1,11,1,2,2,2,2,2,2,2,2,1,40,12,4,2
42,5,2,10,1,2,2,2,2,2,2,2,2,1,46,10,4,3
39,7,2,6,1,2,2,2,2,2,2,2,2,1,38,5,4,5
43,1,2,11,5,2,2,2,2,2,2,2,2,4,50,11,6,4
40,7,1,3,9,2,1,2,2,2,2,2,2,1,20,13,3,5
37,7,2,2,9,2,2,2,2,2,2,2,2,1,15,11,4,5
39,5,1,7,1,2,1,2,2,2,2,2,2,1,65,1,4,2
42,1,2,9,1,2,2,2,2,2,2,2,2,1,40,10,4,3
40,3,2,6,2,2,2,2,2,2,2,2,2,1,40,4,4,3
40,5,2,10,1,2,1,2,2,2,2,2,2,1,40,13,2,3
